age,city,id,name
27,San Francisco,1,Alice
38,Los Angeles,2,Bob
32,New York,3,Charlie
31,New York,4,Alice
28,San Francisco,5,Bob
23,Los Angeles,6,Charlie
26,San Francisco,7,Alice
34,Los Angeles,8,Bob
29,New York,9,Charlie
30,New York,10,Alice
25,San Francisco,11,Bob
33,Los Angeles,12,Charlie
24,San Francisco,13,Alice
37,New York,14,Bob
28,San Francisco,15,Charlie
32,Los Angeles,16,Alice
29,New York,17,Bob
31,San Francisco,18,Charlie
25,San Francisco,19,Alice
35,Los Angeles,20,Bob
34,New York,21,Charlie
30,New York,22,Alice
27,San Francisco,23,Bob
29,Los Angeles,24,Charlie
26,New York,25,Alice
28,Los Angeles,26,Bob
32,San Francisco,27,Charlie
33,San Francisco,28,Alice
36,New York,29,Bob
24,Los Angeles,30,Charlie
31,New York,31,Alice
27,San Francisco,32,Bob
35,New York,33,Charlie
28,Los Angeles,34,Alice
30,San Francisco,35,Bob
26,New York,36,Charlie
27,San Francisco,37,Alice
33,Los Angeles,38,Bob
30,San Francisco,39,Charlie
32,New York,40,Alice
29,Los Angeles,41,Bob
28,San Francisco,42,Charlie
24,New York,43,Alice
36,San Francisco,44,Bob
34,Los Angeles,45,Charlie
30,Los Angeles,46,Alice
26,New York,47,Bob
33,San Francisco,48,Charlie
25,Los Angeles,49,Alice
31,New York,50,Bob
29,San Francisco,51,Charlie
28,New York,52,Alice
32,San Francisco,53,Bob
24,Los Angeles,54,Charlie
30,San Francisco,55,Alice
27,Los Angeles,56,Bob
36,New York,57,Charlie
29,Los Angeles,58,Alice
34,San Francisco,59,Bob
31,Los Angeles,60,Charlie
25,San Francisco,61,Alice
27,New York,62,Bob
28,Los Angeles,63,Charlie
33,New York,64,Alice
32,San Francisco,65,Bob
30,Los Angeles,66,Charlie
29,San Francisco,67,Alice
26,New York,68,Bob
35,San Francisco,69,Charlie
24,Los Angeles,70,Alice
37,San Francisco,71,Bob
32,New York,72,Charlie
28,San Francisco,73,Alice
30,Los Angeles,74,Bob
24,New York,75,Charlie
27,New York,76,Alice
29,San Francisco,77,Bob
34,Los Angeles,78,Charlie
32,San Francisco,79,Alice
25,New York,80,Bob
31,San Francisco,81,Charlie
26,Los Angeles,82,Alice
33,San Francisco,83,Bob
36,New York,84,Charlie
29,New York,85,Alice
30,Los Angeles,86,Bob
27,San Francisco,87,Charlie
24,San Francisco,88,Alice
28,New York,89,Bob
33,Los Angeles,90,Charlie
31,Los Angeles,91,Alice
32,San Francisco,92,Bob
25,New York,93,Charlie
30,San Francisco,94,Alice
34,Los Angeles,95,Bob
22,San Francisco,96,Charlie
26,New York,97,Alice
27,San Francisco,98,Bob
30,Los Angeles,99,Charlie
28,San Francisco,100,Alice
